ID_Estudiante,Numero_Documento,Fecha_Nacimiento,Sexo,Estrato,Municipio_Residencia,Tipo_Sangre,EPS,Semestre_Actual,Creditos_Aprobados
2661066,1039408386,2002-12-16,Masculino,3,El Carmen de Viboral,B-,Salud Total,1,18
3848565,1014778717,1998-07-03,Femenino,6,La Union,AB+,Sanitas,6,99
5801449,1050513164,2003-06-26,Masculino,2,Abejorral,AB+,Coosalud,4,64
1041736,1060596882,2001-04-23,Femenino,5,La Ceja,AB+,Coosalud,4,55
9545653,1095091975,2007-05-18,Masculino,5,Abejorral,AB-,Savia Salud,10,166
1335852,1073576739,2002-01-28,Masculino,3,La Union,AB-,Salud Total,1,1
8148435,1023820005,2008-08-09,Femenino,2,El Carmen de Viboral,A-,Coosalud,2,40
2818414,1039087083,1996-01-25,Femenino,5,El Carmen de Viboral,O-,Coosalud,4,69
1085532,1016325043,1995-12-26,Masculino,3,El Carmen de Viboral,O-,Sura,1,24
7358351,1065016954,2001-03-27,Masculino,6,Guarne,AB-,Savia Salud,10,166
3890392,1066096158,1995-12-29,Femenino,2,El Retiro,O-,Sanitas,8,119
5019867,1083863743,1993-12-20,Masculino,4,Rionegro,B-,Savia Salud,9,141
6529025,1053450882,2001-06-25,Masculino,6,Rionegro,O+,Sura,1,21
3103036,1010805491,2004-10-23,Femenino,5,Santuario,AB+,Savia Salud,2,24
2292693,1054704881,2008-12-21,Masculino,3,El Carmen de Viboral,O-,Nueva EPS,2,28
8505719,1027316731,1994-09-18,Masculino,4,El Retiro,B-,Sanitas,7,121
8565100,1089820905,1998-02-07,Masculino,6,Marinilla,AB+,Sanitas,4,58
5819175,1060764282,2001-10-25,Masculino,6,Rionegro,AB+,Salud Total,10,157
1836047,1033926679,1998-06-22,Femenino,6,Abejorral,B-,Coosalud,10,170
9846636,1042398496,1997-09-18,Masculino,5,Santuario,AB+,Salud Total,3,58
9417788,1087147165,1998-05-14,Femenino,4,La Union,B-,Nueva EPS,8,139
8661111,1066304599,1991-07-12,Femenino,5,La Ceja,O-,Savia Salud,2,39
8326191,1089505713,2001-12-21,Femenino,1,La Ceja,B-,Savia Salud,10,169
5049886,1054048182,1995-07-06,Masculino,5,El Retiro,A+,Sura,10,169
8225111,1015700682,1995-10-15,Masculino,2,El Carmen de Viboral,A-,Salud Total,2,18
3627236,1065860663,1992-04-03,Masculino,3,Santuario,O+,Coosalud,2,17
6735722,1010555563,2007-05-25,Femenino,3,Guarne,A+,Sanitas,9,142
7732949,1032592734,1999-12-15,Femenino,4,Rionegro,AB+,Sura,2,32
4431026,1019887434,2006-06-09,No binario,1,La Union,A+,Savia Salud,6,89
8103103,1031484427,1994-01-26,Femenino,5,El Carmen de Viboral,A+,Coosalud,10,165
9068331,1068029059,2001-03-16,Femenino,3,Abejorral,A-,Sanitas,5,91
5848662,1034843019,1995-05-25,Masculino,2,El Carmen de Viboral,O+,Sanitas,3,57
7356977,1084904642,2000-11-20,Masculino,1,Abejorral,B-,Savia Salud,10,158
2440704,1032397377,1994-09-18,Femenino,3,El Carmen de Viboral,O+,Savia Salud,10,161
3188549,1093308624,1996-01-23,Masculino,5,Guarne,A-,Sanitas,9,158
3898945,1014362157,2002-01-29,Femenino,2,La Union,A+,Nueva EPS,10,170
5778369,1014731240,2007-12-24,Femenino,6,Abejorral,B+,Salud Total,3,51
4056399,1044140025,2000-07-19,Masculino,2,Guarne,B-,Sanitas,9,149
1848333,1051445893,1997-08-28,Femenino,2,Guarne,A-,Sura,1,19
4447618,1092354477,1994-03-21,Femenino,1,Santuario,B-,Coosalud,5,71
3375490,1056372049,2005-06-21,Femenino,5,Guarne,O-,Sanitas,3,34
1532833,1071433583,1994-08-11,Femenino,6,El Retiro,A-,Coosalud,10,170
2372558,1085136441,2008-07-10,Masculino,4,Marinilla,O+,Savia Salud,4,61
5334097,1050271896,2004-03-24,Masculino,1,El Retiro,A-,Savia Salud,10,170
3274414,1075757168,1994-08-01,Masculino,6,Rionegro,B+,Nueva EPS,9,155
3214469,1073626268,2005-02-25,Masculino,4,Guarne,AB+,Sanitas,3,55
4675578,1097587041,2003-01-30,Masculino,2,Rionegro,O-,Sura,6,101
3901069,1084863726,1994-01-07,Masculino,2,Marinilla,O-,Salud Total,2,28
3673356,1036379513,2006-01-20,Femenino,3,La Ceja,AB-,Savia Salud,3,48
7591634,1062546498,1991-03-29,Masculino,1,Marinilla,A-,Salud Total,9,155
4954802,1086913993,1995-02-10,Femenino,1,La Ceja,B+,Sanitas,8,127
7676138,1038717742,2005-03-03,Masculino,5,La Ceja,AB+,Sura,7,112
6338982,1048763180,1998-07-14,Femenino,1,El Carmen de Viboral,O-,Sura,7,119
5220125,1035994789,2007-03-11,Masculino,2,La Ceja,B+,Sanitas,7,122
5152537,1013539170,1992-09-16,Masculino,6,El Retiro,AB+,Coosalud,10,170
4058587,1012937909,2001-06-12,Femenino,2,Marinilla,B-,Savia Salud,3,51
4351312,1072495294,1999-11-10,Femenino,6,Abejorral,B+,Savia Salud,10,160
7126904,1016770471,2001-11-23,Femenino,5,El Retiro,A+,Coosalud,2,34
7238257,1041190110,2007-05-06,Masculino,3,Rionegro,AB+,Salud Total,6,103
8265042,1035650455,1995-03-12,Femenino,2,Guarne,B-,Salud Total,3,37
8640915,1083341366,2001-03-15,Masculino,1,Santuario,AB+,Sura,1,22
9500660,1063287022,2002-05-31,No binario,3,La Union,B-,Sanitas,8,136
7848533,1041235489,1999-12-31,Masculino,3,Marinilla,O-,Sanitas,9,154
2392882,1061093907,2000-10-22,Femenino,5,Rionegro,B+,Coosalud,7,108
7395494,1034053266,2002-11-06,Femenino,5,Marinilla,O+,Sanitas,8,119
5313923,1078131005,2000-07-25,Masculino,1,El Carmen de Viboral,O+,Sura,6,94
3377059,1026810627,2008-09-10,Masculino,3,El Retiro,A+,Salud Total,7,103
4595069,1021738598,2004-11-07,Masculino,5,Abejorral,B-,Savia Salud,10,162
4633263,1036686867,1994-05-23,Masculino,1,El Retiro,B-,Salud Total,2,17
6474388,1092444352,2007-09-17,Masculino,6,El Retiro,AB+,Nueva EPS,7,117
4144402,1094607986,1993-06-29,Femenino,6,El Carmen de Viboral,O-,Coosalud,3,42
5395578,1084076955,1994-05-12,Masculino,3,Abejorral,O-,Salud Total,3,43
3099354,1017988638,2004-06-06,Masculino,1,El Retiro,B-,Savia Salud,5,83
3772173,1055011377,1998-06-16,Masculino,2,Rionegro,B-,Savia Salud,2,25
2693166,1018117728,2004-02-08,Masculino,6,Rionegro,B-,Nueva EPS,2,36
1616837,1068694923,2002-08-06,Masculino,6,Marinilla,AB+,Sanitas,5,87
5421287,1091551928,1991-06-05,Masculino,2,Rionegro,B+,Savia Salud,2,34
4039932,1087539781,2008-05-18,Masculino,5,La Union,AB+,Sanitas,8,140
6002830,1066473967,1998-07-21,Femenino,3,El Retiro,A+,Coosalud,2,18
5395618,1010609720,1993-07-15,Masculino,5,Marinilla,B+,Sura,8,124
7210185,1015653663,2000-12-20,No binario,3,El Carmen de Viboral,O-,Coosalud,1,5
4592919,1058862882,1995-08-25,Femenino,1,Rionegro,A+,Nueva EPS,3,53
4274211,1024148967,1991-10-26,Femenino,6,El Carmen de Viboral,A+,Sanitas,10,169
7824067,1057717871,1993-07-08,Masculino,1,La Union,B-,Sanitas,3,45
5956644,1025391534,1991-09-19,Femenino,4,Marinilla,AB+,Salud Total,10,158
9886957,1085529922,2007-07-02,Masculino,1,Rionegro,O-,Savia Salud,8,124
5721036,1086931316,1995-03-26,Masculino,2,Guarne,A-,Sura,6,108
5154922,1088157149,2002-05-23,Masculino,2,La Ceja,O+,Sura,2,22
2947107,1064223779,1998-06-16,Femenino,1,Rionegro,AB-,Nueva EPS,4,53
2073451,1053270034,1991-04-13,Femenino,1,Rionegro,A-,Salud Total,5,83
9094359,1084231838,2005-12-06,Femenino,4,El Carmen de Viboral,O-,Salud Total,10,158
2965659,1097443423,1997-01-31,No binario,6,Guarne,AB+,Savia Salud,3,44
5073025,1093897977,2002-02-27,Femenino,6,Marinilla,A-,Savia Salud,10,156
1562747,1049974623,1998-10-16,Femenino,4,Guarne,AB-,Sura,5,71
7617170,1010259894,2003-05-20,Femenino,1,Guarne,B+,Sura,3,48
7991638,1033305183,1997-05-16,Masculino,1,El Retiro,O+,Savia Salud,3,55
8792721,1022660040,2006-11-20,Masculino,6,Abejorral,O-,Sanitas,9,145
8076206,1028640182,2002-05-24,Femenino,4,Marinilla,O+,Savia Salud,10,167
5022141,1094069615,2002-06-26,Masculino,4,El Carmen de Viboral,O+,Savia Salud,10,160
8002157,1024824128,1994-03-16,Masculino,4,Rionegro,B+,Sura,3,40
1563624,1024850327,1996-02-02,Masculino,2,El Retiro,O-,Sanitas,7,115
1849220,1051054007,1996-09-12,Femenino,6,Rionegro,O-,Nueva EPS,9,144
5857203,1043584918,2001-01-23,Masculino,2,Rionegro,AB-,Nueva EPS,6,87
2511803,1042915913,1997-11-12,Masculino,6,Guarne,O+,Coosalud,1,21
7243929,1024870560,1994-06-06,Femenino,2,Marinilla,A-,Coosalud,7,108
5576142,1094682299,2002-12-30,Femenino,2,El Retiro,A+,Sura,8,128
2140168,1054104255,2000-12-12,Femenino,2,La Ceja,A+,Salud Total,2,30
7246562,1031778612,1991-07-12,Femenino,6,Santuario,B-,Salud Total,5,90
9572312,1034087792,2004-06-17,Masculino,3,Santuario,B+,Nueva EPS,6,87
1108930,1095858670,2003-02-12,Masculino,5,Abejorral,A+,Sura,5,87
7533098,1075965123,1996-08-05,Femenino,1,La Ceja,AB-,Salud Total,10,166
8144746,1020927361,2008-12-07,Femenino,6,Abejorral,B-,Coosalud,1,9
9335649,1013552346,2002-07-11,Masculino,4,Santuario,A-,Sura,8,139
6902434,1054624657,2002-11-20,Masculino,2,La Union,A-,Coosalud,8,141
2197696,1085330470,2006-10-16,Femenino,2,Rionegro,O-,Coosalud,3,52
7535803,1070368973,1991-08-23,Femenino,3,La Union,AB-,Nueva EPS,7,106
4617505,1015370562,2002-02-27,Femenino,1,Rionegro,O-,Savia Salud,10,170
1094392,1097451921,1993-09-28,Masculino,5,El Carmen de Viboral,A+,Savia Salud,2,31
2388333,1061690793,1994-07-06,Femenino,5,Rionegro,O+,Savia Salud,1,2
8173843,1019532905,2001-10-29,Masculino,5,El Retiro,O+,Salud Total,9,159
6735734,1040192370,2004-01-13,Masculino,4,Rionegro,AB-,Sanitas,5,88
9640551,1092019804,2001-01-28,Masculino,6,El Carmen de Viboral,B-,Sura,10,164
6787840,1070557086,1999-03-14,Femenino,4,La Union,B+,Coosalud,4,70
5975914,1065865142,1991-11-11,Masculino,4,El Retiro,AB+,Sanitas,6,107
7904009,1023496956,2005-11-30,Masculino,1,Abejorral,B-,Sura,2,28
4206078,1094141509,2005-09-09,Femenino,5,Marinilla,A-,Nueva EPS,5,73
2614711,1058255599,1992-05-14,Masculino,3,Guarne,O-,Coosalud,10,170
8780292,1021711820,1999-12-10,Femenino,6,La Union,O-,Sura,6,101
